=== LANÇAMENTOS POR ANO ===
Regra: Cada empreendimento é contado quando o incorporador o insere no sistema como lançamento.
Fases posteriores são ignoradas.

Ano: 2021
Total lançamentos: 40
Empreendimentos Lançados:

  - 01 | APEX ENGENHARIA COM E IND LTDA | Samambaia | EMP_103
  - 04 | EMPLAVI INCORPORAÇÕES | Noroeste | CASTANHEIRAS
  - 04 | LOTUS CONSTRUTORA | Noroeste | 310 LOTUS
  - 04 | SOLTEC ENGENHARIA LTDA | Park Sul | VENICE PARK
  - 05 | BRASAL INCORPORAÇÕES | Noroeste | RESERVA DOURO
  - 05 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Águas Claras | OCEANIA RESIDENCE
  - 06 | DIRECIONAL INCORPORAÇÕES | Recanto das Emas | CANÁRIOS
  - 07 | BRASAL INCORPORAÇÕES | Noroeste | RESERVA LYBER
  - 08 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Águas Claras | MANHATAN SHOPPING
  - 08 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Águas Claras | PENÍNSULA LAZER & URBANISMO
  - 08 | TERRAL INCORPORADORA | Águas Claras | CASA 35
  - 10 | CONSTRUTORA VILLELA E CARVALHO LTDA | Noroeste | CALGARY
  - 10 | HC INCORPORADORA | Noroeste | OLGA CARVALHO
  - 10 | JAX 28 EMPREEENDIMENTOS | Noroeste | UNION
  - 11 | DIRECIONAL INCORPORAÇÕES | Recanto das Emas | SABIÁS
  - 12 | HABITAR EMPREENDIMENTOS IMOBILIÁRIOS LTDA | Samambaia | LAGOS

Ano: 2023
Total lançamentos: 32
Empreendimentos Lançados:

  - 01 | DIRECIONAL INCORPORAÇÕES | Planaltina | TOTAL VILLE PLANALTINA 7
  - 01 | GSA CORP INCORPORAÇÕES IMOBILIÁRIAS SA | Lago Norte | LAR RESIDENCIAL E SPA URBANO
  - 02 | ENGENHARIA CARVALHO ACCIOLY | Ceilândia | DAVID ACCIOLY
  - 02 | ENGENHARIA CARVALHO ACCIOLY | Samambaia | JOSÉ RENATO ACCIOLY
  - 03 | CONSTRUTORA VILLELA E CARVALHO LTDA | Noroeste | AMAZE STUDIOS
  - 03 | EMPLAVI INCORPORAÇÕES | Noroeste | PARQUE DAS OLIVEIRAS
  - 04 | APEX ENGENHARIA COM E IND LTDA | Águas Claras | LÉT PARQUE
  - 04 | ELMO ENGENHARIA | Águas Claras | LUX HOME BOULEVARD
  - 04 | HABITAR EMPREENDIMENTOS IMOBILIÁRIOS LTDA | Samambaia | VISEU
  - 04 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Asa Norte | GERALDO ESTRELA
  - 05 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Park Sul | FIRENZE PARK SUL
  - 05 | CONSTRUTORA VILLELA E CARVALHO LTDA | Águas Claras | VILLA JARDINS
  - 05 | DIRECIONAL INCORPORAÇÕES | Ceilândia | TOTAL VILLE IKEDA
  - 05 | ENGENHARIA CARVALHO ACCIOLY | Gama | CARLOS EDUARDO ACCIOLY
  - 05 | FAENGE FIGUEIREDO AVILA ENGENHARIA LTDA | Noroeste | PALAZZO 105
  - 06 | BRASAL INCORPORAÇÕES | Noroeste | NEXUS
  - 07 | SOLTEC ENGENHARIA LTDA | Águas Claras | UNITÉ
  - 08 | BRASAL INCORPORAÇÕES | Asa Sul | RESERVA ORLA
  - 08 | EMPLAVI INCORPORAÇÕES | Noroeste | PARQUE DOS JASMINS
  - 08 | FAENGE FIGUEIREDO AVILA ENGENHARIA LTDA | Noroeste | LINK NOROESTE
  - 08 | SOLTEC ENGENHARIA LTDA | Noroeste | YARD SOLTEC PREMIUM
  - 09 | DIRECIONAL INCORPORAÇÕES | Recanto das Emas | RECANTO DAS ANDORINHAS
  - 09 | DIRECIONAL INCORPORAÇÕES | Sobradinho II | ALTO DO HORIZONTE
  - 10 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Sudoeste | PARQUE CIDADE
  - 10 | BRASAL INCORPORAÇÕES | Noroeste | RESERVA CELEBRARE
  - 10 | CONBRAL SA | Gama | QUADRA PARQUE
  - 10 | CONBRAL SA | Noroeste | ENNIUS MUNIZ
  - 10 | MC ENGENHARIA | Sobradinho | QUATTRE
  - 10 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Águas Claras | OCEANIA RESIDENCE
  - 12 | AREA REALTY EMPREENDIMENTO IMOB SA | Águas Claras | THE VIEW
  - 12 | DIRECIONAL INCORPORAÇÕES | Santa Maria | TOTAL VILLE CONVIVER
  - 12 | TERRAL INCORPORADORA | Águas Claras | ELEVA 25

Ano: 2024
Total lançamentos: 18
Empreendimentos Lançados:

  - 03 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Noroeste | EDMOND BARACAT
  - 04 | CONBRAL SA | Águas Claras | RODRIGO MUNIZ
  - 04 | EMPLAVI INCORPORAÇÕES | Noroeste | PARQUE DOS BURITIS
  - 05 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Guará | MARECHAL JOSÉ PESSOA
  - 05 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Samambaia | UP RESORT
  - 05 | SOLTEC ENGENHARIA LTDA | Park Sul | VENICE PARK
  - 06 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Sudoeste | PARQUE NACIONAL
  - 06 | EMPLAVI INCORPORAÇÕES | Sudoeste | ESMERALDA
  - 06 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Noroeste | MARIANNE PERETTI
  - 07 | GSA CORP INCORPORAÇÕES IMOBILIÁRIAS SA | Noroeste | AURA RESIDENCE SERVICE
  - 08 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Asa Sul | 7SUL
  - 09 | CONSTRUTORA VILLELA E CARVALHO LTDA | Noroeste | BIOME STUDIOS
  - 09 | EMPLAVI INCORPORAÇÕES | Guará | HORIZON CLUB RESIDENCE
  - 09 | ENGENHARIA CARVALHO ACCIOLY | Taguatinga | CÉSAR ACCIOLY
  - 10 | DIRECIONAL INCORPORAÇÕES | Taguatinga | LUMI TOWER RESIDENCE
  - 11 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Jardim Botânico | VALLE DAS ORQUIDEAS
  - 11 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Jardim Botânico | VALLE DOS IPES
  - 11 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Águas Claras | TOMIE OHTAKE

Ano: 2025
Total lançamentos: 17
Empreendimentos Lançados:

  - 01 | ATTOS CONSTRUÇÕES E INCORPORAÇÕES LTDA | Lago Norte | JARDIM RESIDENCE
  - 03 | JAX 28 EMPREEENDIMENTOS | Noroeste | MOMENT NOROESTE
  - 04 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Águas Claras | PENÍNSULA  LAZER E URBANISMO
  - 05 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Asa Norte | DESEMBARGADOR SOUZA PRUDENTE
  - 06 | CONSTRUTORA VILLELA E CARVALHO LTDA | Águas Claras | YARDS
  - 06 | EMPLAVI INCORPORAÇÕES | Sudoeste | AMETISTA
  - 06 | FAENGE FIGUEIREDO AVILA ENGENHARIA LTDA | Águas Claras | VIVA AGUAS CLARAS RESIDENCIAL RESORT
  - 06 | SOLTEC ENGENHARIA LTDA | Park Sul | VENICE PARK
  - 07 | CONSTRUTORA VILLELA E CARVALHO LTDA | Águas Claras | HIGHLINE
  - 07 | LOTUS CONSTRUTORA | Asa Norte | KASA RESIDENCIAL
  - 07 | LOTUS CONSTRUTORA | Asa Sul | VERT
  - 09 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Jardim Botânico | VALLE DAS ACÁCIAS
  - 09 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Jardim Botânico | VALLE DOS JATOBÁS
  - 09 | EMPLAVI INCORPORAÇÕES | Sudoeste | DIAMANTE
  - 09 | EMPLAVI INCORPORAÇÕES | Sudoeste | RUBI
  - 09 | GSA CORP INCORPORAÇÕES IMOBILIÁRIAS SA | Samambaia | DOC
  - 10 | TERRAL INCORPORADORA | Sobradinho | CHÁCARA BERNADETTE

